Seed Lot ID,Scientific name,Label name (as written),Common name EN,Common name DE,Common name PT,Family,Status,Germination priority,Viability status,Estimated seed count,Count accuracy,Seeds sown,Seeds remaining,Collection / acquisition date,Seed lot origin,Source type,Storage method,Storage temperature,Estimated sow-by date,Pretreatment needed,Germination instructions,Adult plant image source,Species notes,Label transcription,Confidence,Research / source notes,Wikipedia title,Wikipedia
SBC-SEED-0011,Caesalpinia pulcherrima,Peacock / Red peacock tree,Red peacock flower / peacock flower / dwarf poinciana,Roter Pfauenstrauch / Barbados-Stolz,flor-de-pavão-vermelha / flamboyant-de-jardim,Fabaceae,Stored,★★ Low,"Fresh / likely good; hard-coated legume seed, should store reasonably if kept dry",Many / unknown,User estimate: many; not counted,0,Many / unknown,05/2026,St Eustatius (Statia),Travel collection; parent plant likely ornamental/cultivated red form,Sealed plastic packet with silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Low urgency but worth testing in 2026–2027; retain dry backup seed.,"Scarification recommended; nick/sand seed coat lightly, then soak 12–24h in warm water before sowing.","Since the lot is “many” seeds, run a test batch of 10–15. Sow after scarification/soak in warm, free-draining medium at 24–28°C; keep moist but not wet.","Use app fallback or curated Wikimedia/Wikidata image of adult red peacock flower, not packet photo.","Tropical/subtropical ornamental shrub, sensitive to cold; not hardy in Heiligenhaus except perhaps as seasonal container plant. Seeds of Caesalpinia are potentially toxic; do not ingest.","“Peacock / Statia 2026.” User supplied: red peacock tree, St Eustatius, May 2026, many seeds.","Medium-high: common name and seed appearance match previous Caesalpinia pulcherrima lots, but scientific name not written on this packet.",Companion red peacock flower lot; treat as Caesalpinia pulcherrima unless later evidence suggests a different “peacock” species.,Caesalpinia pulcherrima,https://en.wikipedia.org/wiki/Caesalpinia_pulcherrima
SBC-SEED-0012,Tamarindus indica,Tamarind,Tamarind,Tamarinde,tamarindo,Fabaceae,Stored,★★ Low,"Fresh / likely good if kept dry; hard-coated legume seed, should store reasonably",12,Exact user count,0,12,05/2026,St Martin,Travel collection; likely fruit/food or ornamental tree source,"Dry storage in labelled packet; keep cool and dry, ideally with desiccant.","Cool, dry, stable room temperature.",Not urgent if kept dry; test batch in 2026–2027.,"Scarification recommended; nick/sand seed coat lightly, then soak 12–24h in warm water before sowing.","With 12 seeds, test 3–4 first. Sow after scarification/soak in warm, free-draining medium at 24–30°C; keep evenly moist but not wet.","Use app fallback or curated Wikimedia/Wikidata image of adult tamarind tree/fruit, not packet photo.","Tropical/subtropical fruit tree; not hardy in Heiligenhaus; greenhouse/container curiosity, possibly bonsai-interesting when young.","User supplied: “Tamarind seeds from St Martin, May/2026, 12 seeds.”",High for common-name ID; scientific name inferred as Tamarindus indica.,Common tamarind seed lot; treat as Tamarindus indica unless later evidence suggests another Tamarindus taxon.,Tamarindus indica,https://en.wikipedia.org/wiki/Tamarindus_indica
SBC-SEED-0013,Ceiba pentandra,Ceiba pentandra - Kapok tree,Kapok tree / ceiba / silk-cotton tree,Kapokbaum / Wollbaum,sumaúma / sumaúma-branca / kapok,Malvaceae,Stored,★★★★ High,Fresh / unknown; test soon because tropical tree seed viability can vary,Several / unknown,Unknown; not counted from packet,0,Several / unknown,09/05/2026,"Anse d’Arlet, Martinique",Travel collection; likely from kapok/ceiba tree,Sealed plastic packet with tissue and silica gel. Keep dry; avoid condensation and heat.,"Cool, dry, stable room temperature.",Test a small batch in 2026; do not rely on long-term storage without testing.,Probably minimal; optional 12–24h warm-water soak before sowing. Avoid over-soaking if seeds soften quickly.,"Sow warm in free-draining sterile medium at 24–30°C; keep evenly moist but not wet. Because count is only several/unknown, start with 2–3 seeds first.","Use app fallback or curated Wikimedia/Wikidata image of adult kapok/ceiba tree, buttress roots, flowers or pods, not packet photo.",Very large tropical Malvaceae tree with kapok fibre around the seeds; not hardy in Heiligenhaus; only realistic as a greenhouse/container/bonsai-style experiment when young.,“Ceiba pentandra - Kapok tree / Martinique - Anse d’Arlet / 9.05.2026.”,High for ID from label; seed count unknown.,"Ceiba pentandra is a Malvaceae tree known as kapok/ceiba, native to Central America, the Caribbean and northern South America, and cultivated for cotton-like seed fibre.",Ceiba pentandra,https://en.wikipedia.org/wiki/Ceiba_pentandra
SBC-SEED-0014,Thespesia populnea,Seaside mahoe,Seaside mahoe / portia tree / milo,Portiabaum / Küsten-Mahoe,algodão-da-praia / thespesia,Malvaceae,Stored,★★★ Medium,"Fresh / likely good if kept dry; coastal tree seed, test batch when convenient",40,Exact user count,0,40,29/05/2026,Martinique,Travel collection; likely coastal/tree seed lot,Dry labelled packet; keep with silica gel if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026–2027; keep backup dry.,Possibly helpful: soak 12–24h in warm water; light scarification only if seeds do not imbibe.,"With 40 seeds, test 8–10 first. Sow warm in free-draining medium at 24–28°C; keep evenly moist but not waterlogged.","Use app fallback or curated Wikimedia/Wikidata image of adult seaside mahoe/Portia tree, not packet photo.","Coastal tropical tree in Malvaceae, adapted to island/coastal environments and oceanic dispersal; not hardy in Heiligenhaus.",User supplied: “Another batch (40 seeds) of seaside mahoe from Martinique 29/05/2026.” Scientific name inferred as Thespesia populnea from common name.,Medium-high: scientific name inferred from common name “seaside mahoe”.,Companion seaside mahoe lot; treat as Thespesia populnea unless later evidence suggests another local “mahoe” species.,Thespesia populnea,https://en.wikipedia.org/wiki/Thespesia_populnea
SBC-SEED-0015,Delonix regia var. flavida,Delonix regia flavida (Yellow),Yellow flamboyant / yellow royal poinciana,Gelber Flammenbaum / gelber Flamboyant,flamboyant-amarelo / acácia-rubra-amarela,Fabaceae,Stored,★★ Low,"Fresh / likely good if kept dry; hard-coated seed, should respond to scarification",Several dozen (~36–60),Approximate user estimate,0,Several dozen (~36–60),05/2026,Martinique,Travel collection; yellow-flowering ornamental/cultivated form,Dry labelled packet; keep with silica gel if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.","Low-to-medium urgency if kept dry, but test batch in 2026–2027 to confirm viability and colour/form interest.","Scarification strongly recommended; nick/sand the hard seed coat, then soak 12–24h in warm water before sowing.","Test 8–10 seeds first. After scarification/soak, sow in warm free-draining medium at 24–30°C; keep moist but not waterlogged. Keep seedlings labelled separately from red/orange Delonix lots.","Use app fallback or curated Wikimedia/Wikidata image of yellow Delonix/flavida if available, not packet photo.",Yellow form of the flamboyant/royal poinciana. Not hardy in Heiligenhaus; greenhouse/container/bonsai experiment only. Keep separate from standard Delonix regia seed lots.,User supplied: “Several dozens of Delonix regia flavida (Yellow) from Martinique 5/2026.”,High for user-supplied ID; count approximate.,Yellow Delonix regia lot; catalogue separately from standard red/orange Delonix regia because flower colour provenance matters.,Delonix regia,https://en.wikipedia.org/wiki/Delonix_regia
SBC-SEED-0016,Moringa oleifera,Moringa,Moringa / drumstick tree,Meerrettichbaum / Moringa,moringa / acácia-branca,Moringaceae,Stored,★★★★ High,Fresh / likely good; sow or test soon for best results,Several dozen (~36–60),Approximate user estimate,0,Several dozen (~36–60),04/2026,"Portsmouth, Dominica — Andrew’s garden",Private garden / friend-local provenance,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026; moringa is worth sowing relatively fresh rather than archiving for years.,Usually none; optional 12–24h soak in warm water before sowing.,"Test 8–10 seeds first. Sow in warm, free-draining medium at 24–30°C; keep lightly moist, never soggy. Provide strong light and warmth after germination.","Use app fallback or curated Wikimedia/Wikidata image of adult moringa tree, flowers or pods, not packet photo.",Fast-growing tropical/subtropical tree; not hardy in Heiligenhaus. Good warm-season container/greenhouse experiment; useful edible/ethnobotanical species.,"User supplied: “Several dozens of moringa / 04/2026 / Portsmouth, Dominica (from Andrew’s garden).”",High for user-supplied common-name ID; scientific name inferred as Moringa oleifera.,"Moringa lot with named private-garden provenance; if made public later, consider whether to redact Andrew’s name.",Moringa oleifera,https://en.wikipedia.org/wiki/Moringa_oleifera
SBC-SEED-0017,Moringa oleifera,Moringa,Moringa / drumstick tree,Meerrettichbaum / Moringa,moringa / acácia-branca,Moringaceae,Stored,★★★★ High,Fresh / likely good; sow or test soon for best results,Unknown,Unknown; user did not provide count,0,Unknown,05/2026,Saba,Travel collection / local garden or tree source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026; moringa is worth sowing relatively fresh rather than archiving for years.,Usually none; optional 12–24h soak in warm water before sowing.,"Once count is known, test a small batch first. Sow in warm, free-draining medium at 24–30°C; keep lightly moist, never soggy. Provide strong light and warmth after germination.","Use app fallback or curated Wikimedia/Wikidata image of adult moringa tree, flowers or pods, not packet photo.",Fast-growing tropical/subtropical tree; not hardy in Heiligenhaus. Good warm-season container/greenhouse experiment; useful edible/ethnobotanical species.,User supplied: “More Moringa from Saba 05/26.”,High for user-supplied common-name ID; scientific name inferred as Moringa oleifera.,Second moringa lot; keep separate from Dominica lot because provenance differs.,Moringa oleifera,https://en.wikipedia.org/wiki/Moringa_oleifera
SBC-SEED-0018,Majidea zanguebarica,Majidea zanguebarica,Black pearl tree / mgambo tree / velvet seed tree,Schwarzperlenbaum / Mgambo-Baum,árvore-pérola-negra / mgambo,Sapindaceae,Stored,★★★★ High,"Unknown; ornamental tropical tree seed, test soon rather than archiving blindly",Unknown,Unknown; user did not provide count,0,Unknown,05/2026,Sint Maarten,Travel collection; ornamental/tropical tree source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test a small batch in 2026; do not assume long storage viability without testing.,"Uncertain; clean any fruit/aril residue if present, then try a 12–24h warm-water soak before sowing. Avoid aggressive scarification unless seeds prove hard and impermeable.","Once count is known, test a small batch first. Sow warm in a free-draining tropical seed mix at 24–28°C; keep evenly moist but never soggy.","Use app fallback or curated Wikimedia/Wikidata image of adult Majidea zanguebarica, fruit and seeds, not packet photo.","Small tropical Sapindaceae tree, known for ornamental black velvet-like seeds in red capsules. Not hardy in Heiligenhaus; greenhouse/container specimen only.",User supplied: “Majidea zanguebarica from Sint Maarten 05/26.”,High for user-supplied scientific name; count unknown.,Majidea zanguebarica is a Sapindaceae tree native to East Africa and known as mgambo/black pearl/velvet seed tree; ornamental seeds are a key feature.,Majidea zanguebarica,https://en.wikipedia.org/wiki/Majidea_zanguebarica
SBC-SEED-0019,Conocarpus erectus,Buttonwood,Buttonwood / button mangrove / green buttonwood,Knopfmangrove / Buttonwood,mangue-de-botão / botão-de-mangue,Combretaceae,Stored,★★★ Medium,"Unknown; coastal/mangrove-associate seed lot, test rather than archive blindly",Unknown,Unknown; user did not provide count,0,Unknown,05/2026,Sint Maarten,Travel collection; coastal/mangrove-edge tree source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.",Test batch in 2026–2027; viability/storage behaviour not yet confirmed for this lot.,"Unclear; try a small untreated warm sowing batch first, with a parallel warm-water soak batch if enough seed is available.","Once count is known, test a small batch. Sow warm in a sandy, free-draining coastal-style mix; keep moist but not waterlogged. Consider slightly brackish tolerance only after seedlings are established, not at germination.","Use app fallback or curated Wikimedia/Wikidata image of adult buttonwood/button mangrove, not packet photo.",Hardy tropical/subtropical coastal shrub or small tree in Combretaceae; button-like fruiting heads disperse by water; bonsai/coastal ecology interest. Not hardy in Heiligenhaus.,User supplied: “Buttonwood St Maarten 05/26.” Recorded origin as Sint Maarten.,High for common-name ID; scientific name inferred as Conocarpus erectus.,"Conocarpus erectus is commonly called buttonwood or button mangrove, family Combretaceae, found on tropical/subtropical shorelines including the West Indies.",Conocarpus erectus,https://en.wikipedia.org/wiki/Conocarpus_erectus
SBC-SEED-0020,Senna polyphylla,Senna polyphylla,Senna polyphylla / desert cassia,Senna polyphylla,senna / cássia,Fabaceae,Stored,★★ Low,"Fresh / likely good if kept dry; hard-coated legume seed, should tolerate storage better than very fleshy tropical seeds",>100,Approximate user estimate; large batch,0,>100,09/05/2026,Martinique,Travel collection; tree/shrub source not yet specified,Dry labelled packet; keep cool and dry with desiccant if available. Avoid condensation and heat.,"Cool, dry, stable room temperature.","Test batch in 2026–2027; large hard-coated legume batch can probably be stored, but viability should be checked.","Likely scarification or nicking plus 12–24h warm-water soak, as for many hard-coated Fabaceae seeds.","Test 10–20 seeds first. Scarify/nick a small batch, soak in warm water 12–24h, then sow in a warm, free-draining seed mix at about 24–30°C. Keep lightly moist, not soggy.","Use app fallback or curated Wikimedia/Wikidata image of adult Senna polyphylla, flowers and habit, not packet photo.",Tropical/subtropical Senna shrub or small tree; yellow-flowering Fabaceae with potential ornamental and bonsai interest. Not hardy in Heiligenhaus without protection.,"User supplied: “Senna polyphylla, Martinique 09/05/2026, over 100 seeds.”",High for user-supplied scientific name and origin/date; seed count approximate.,Cultivation notes inferred cautiously from hard-coated Fabaceae seed behaviour; verify species-specific details later before public release.,Senna polyphylla,https://en.wikipedia.org/wiki/Senna_polyphylla
