Scientific name,Wishlist ID,Source,Priority,Status,Family,Common name EN,Common name DE,Common name PT,Native origin,Natural habitat,Temperature / hardiness target,Light needs,Humidity,Water needs,Soil / substrate,Recommended substrate mix (%),Winter hardiness in Heiligenhaus,Difficulty,Future location,Rarity in cultivation,Bonsai potential,Invasive potential,Conservation / endangerment level,Pollinators / ecology,Edible / medicinal / ethnobotanical,Seed source / propagation,Where to buy EU/UK,Wikipedia,Kew POWO / source search,Notes,Confidence
Theobroma cacao,SBC-WL-0011,"Kew Gardens, London",★★★★★,Wishlist,Malvaceae,Cacao tree,Kakaobaum,cacaueiro,Amazon basin / tropical South America,Humid lowland rainforest understory,20–32°C; never below ~15°C,Bright shade,High,Even moisture,Rich acidic organic soil,45% peat-free potting compost/coir; 25% mature compost; 20% perlite/pumice; 10% fine bark. Rich and moisture-retentive but draining.,Greenhouse only,Hard,Trees & large shrubs,Uncommon / specialist nurseries,Low,None,Cultivated globally; wild genetic diversity is of conservation concern.,"Tiny biting midges, especially Forcipomyia spp. (Ceratopogonidae), are the key cacao pollinators.",Edible cacao beans; major ethnobotanical crop,Fresh seed only; seedlings,Tropical fruit specialists; fresh pods/seeds,https://en.wikipedia.org/wiki/Theobroma_cacao,https://powo.science.kew.org/results?q=Theobroma+cacao,"Possible in warm greenhouse, not practical but wonderful.",High
Piper nigrum,SBC-WL-0012,"Kew Gardens, London",★★★★,Wishlist,Piperaceae,Black pepper,Schwarzer Pfeffer,pimenta-preta,South India / Western Ghats,Humid tropical forest vine,18–32°C; avoid below 15°C,Bright filtered light,High,Even moisture,"Rich, airy, fertile soil; support needed",45% peat-free potting compost/coir; 25% mature compost; 20% perlite/pumice; 10% fine bark. Rich and moisture-retentive but draining.,Greenhouse/indoors only,Medium,Tropical greenhouse,Uncommon / specialist nurseries,Low,None,Not evaluated / no global threat flag recorded in this catalogue.,Wind and tiny insects can be involved; exact pollination of Piper nigrum includes small flies/thrips; usually cultivated vegetatively.,Edible peppercorns; historic spice plant,Cuttings; seed must be fresh,Specialist tropical plant sellers,https://en.wikipedia.org/wiki/Piper_nigrum,https://powo.science.kew.org/results?q=Piper+nigrum,Very coherent ethnobotanical greenhouse plant.,High
Curcuma longa,SBC-WL-0013,"Kew Gardens, London",★★★★,Wishlist,Zingiberaceae,Turmeric,Kurkuma,curcuma / açafrão-da-terra,South/Southeast Asia; cultivated origin,Monsoon forest edges/cultivation,20–32°C in growth; dry rhizome dormancy,Part shade to bright light,Medium-high,Moist in growth; dry rest,"Rich, well-drained, organic soil",45% peat-free potting compost/coir; 25% mature compost; 20% perlite/pumice; 10% fine bark. Rich and moisture-retentive but draining.,Rhizomes lifted/stored frost-free,Easy,Pots / terrace,Common in garden trade,None,None,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known pollinators: bees (Amegilla/Apis spp.), butterflies, and sometimes birds depending species; turmeric rarely sets seed in cultivation.",Edible rhizome; medicinal/spice use,Rhizomes from grocer or nursery,"Asian groceries, garden centres, tropical suppliers",https://en.wikipedia.org/wiki/Curcuma_longa,https://powo.science.kew.org/results?q=Curcuma+longa,Useful and beautiful foliage plant.,High
Leucocasia gigantea,SBC-WL-0014,"Kew Gardens, London",★★★★,Wishlist,Araceae,Giant elephant ear,Riesen-Elefantenohr,orelha-de-elefante-gigante,S China to W Malesia,Wet tropical biome; tuberous geophyte of moist forest edges/streamsides,18–32°C; frost-free,Bright filtered light to sun with water,High,High; dislikes drying,"Rich, wet, fertile soil",35% fine orchid bark; 25% coco coir/peat-free compost; 20% perlite/pumice; 15% mature compost/worm castings; 5% charcoal.,Greenhouse only / summer outdoor pot,Medium,Bonsai house / epiphyte wall,Rare collector plant / specialist nurseries,Low,None in Germany; invasive only in tropics,Not evaluated / no global threat flag recorded in this catalogue.,"Likely generalist insects: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees and hoverflies; exact pollinators need verification.",Ornamental; related food crops but not primary edible,Offsets/corms,Specialist aroid/hardy exotic nurseries,https://en.wikipedia.org/wiki/Leucocasia_gigantea,https://powo.science.kew.org/results?q=Leucocasia+gigantea,Huge foliage impact; formerly/commonly seen under Colocasia gigantea in cultivation.,High
Cardiocrinum giganteum,SBC-WL-0015,"Kew Gardens, London",★★★★★,Wishlist,Liliaceae,Giant Himalayan lily,Riesenlilie,lírio-gigante-do-himalaia,"Himalayas, China, Myanmar",Cool moist woodland and forest margins,Hardy; prefers cool roots,Light shade / woodland edge,Medium,"Moist, never stagnant","Deep, humus-rich, fertile, moist but well-drained woodland soil; intolerant of waterlogging",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,"Outdoor woodland trial; hardy if sheltered and drained, but winter wet is the main risk",Hard,Shady outdoor bed,Rare collector plant / specialist nurseries,Low,None,Not currently flagged here as globally threatened; avoid wild-collected bulbs.,"Likely/known visitors: bees (Bombus/Apis spp.), butterflies, and moths including hawkmoths (Sphingidae); verify by species.",Ornamental; bulb not for eating,Seed very slow; offsets after flowering,Specialist bulb/woodland nurseries,https://en.wikipedia.org/wiki/Cardiocrinum_giganteum,https://powo.science.kew.org/results?q=Cardiocrinum+giganteum,"Monocarpic: flowering bulb dies, leaving offsets/bulbils. Needs cool moist woodland conditions, drainage, mulch and slug protection.",High
Cypripedium kentuckiense,SBC-WL-0016,"Kew Gardens, London",★★★★★,Wishlist,Orchidaceae,Kentucky lady's slipper,Kentucky-Frauenschuh,sapatinho-de-vénus-do-kentucky,SE United States,"Moist deciduous woodland, limestone seepages",Hardy; cool winter dormancy,Dappled shade,Medium,"Even moisture, no waterlogging","Humus-rich, mineral, well-drained orchid bed",40% fine orchid bark; 25% coco coir or sphagnum; 20% perlite/pumice; 10% leaf mould/compost; 5% horticultural charcoal.,Hardy outdoors if soil is right,Hard,Bonsai house / epiphyte wall,Very rare / botanical-collection level,None,None,Rare / locally threatened orchid; use nursery-propagated plants only.,"Pollination often specialised; verify by species. Common visitors include solitary bees (Andrena/Lasioglossum spp.), hoverflies (Syrphidae), and in Vanilla, euglossine bees (Eulaema spp.) / stingless bees (Meliponini).",Ornamental/conservation interest only,Buy nursery-propagated plants only,Hardy orchid specialists,https://en.wikipedia.org/wiki/Cypripedium_kentuckiense,https://powo.science.kew.org/results?q=Cypripedium+kentuckiense,Do not buy wild-collected plants.,High
Zanthoxylum piperitum,SBC-WL-0017,"Chelsea Physic Garden, London",★★★★★,Wishlist,Rutaceae,Japanese pepper / sansho,Japanischer Pfeffer / Szechuanpfeffer,pimenteira-japonesa / sansho,"Japan, Korea, China","Woodland margins, thickets",Hardy approx. -15°C or lower,Sun to part shade,Medium,Moderate,Well-drained fertile soil,45% peat-free potting compost/coir; 25% mature compost; 20% perlite/pumice; 10% fine bark. Rich and moisture-retentive but draining.,Hardy outdoors in Heiligenhaus,Medium,Shady outdoor bed,Uncommon / specialist nurseries,High,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis mellifera, Bombus spp.), hoverflies, small flies; fruits dispersed/used by birds and mammals.",Edible aromatic leaves/berries; medicinal/cultural uses,Seed needs stratification; buy plants easier,"Edible shrub nurseries, rare fruit nurseries",https://en.wikipedia.org/wiki/Zanthoxylum_piperitum,https://powo.science.kew.org/results?q=Zanthoxylum+piperitum,Excellent hardy ethnobotanical shrub.,High
Heptacodium miconioides,SBC-WL-0018,"Chelsea Physic Garden, London",★★★★,Wishlist,Caprifoliaceae,Seven-son flower,Sieben-Söhne-des-Himmels-Strauch,flor-dos-sete-filhos,China,Open woodland and scrub,Hardy to approx. -20°C,Sun to part shade,Medium,Moderate,"Fertile, well-drained soil",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors in Heiligenhaus,Easy,Shady outdoor bed,Uncommon / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis/Bombus spp.), hoverflies, butterflies; fruits dispersed by birds where present.",Ornamental; no major edible use,Cuttings/seed,Tree/shrub nurseries,https://en.wikipedia.org/wiki/Heptacodium_miconioides,https://powo.science.kew.org/results?q=Heptacodium+miconioides,Late flowers and attractive bark/bracts.,High
Colletia paradoxa,SBC-WL-0019,"Chelsea Physic Garden, London",★★★★★,Wishlist,Rhamnaceae,Anchor plant,Ankerpflanze,planta-âncora,"Uruguay, Argentina, Brazil",Dry grassland and scrub,Hardy only mild; protect below about -8°C,Full sun,Low,Low once established,Very well-drained poor/gravelly soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline; sheltered dry outdoor trial,Medium,Sunny outdoor bed,Rare collector plant / specialist nurseries,High,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees, hoverflies and flies; fruits used/dispersed by birds.",Ornamental; strange photosynthetic spines,Seed/cuttings,Specialist Mediterranean/rare shrub nurseries,https://en.wikipedia.org/wiki/Colletia_paradoxa,https://powo.science.kew.org/results?q=Colletia+paradoxa,Architectural oddity; drainage is key.,High
Rhodocoma capensis,SBC-WL-0020,"Chelsea Physic Garden, London",★★★★,Wishlist,Restionaceae,Cape restio,Kap-Restio,restio-do-cabo,"South Africa, Cape region","Fynbos; winter rainfall, sandy soils","Mild frost tolerant, best above -5/-8°C",Full sun,Low-medium,Moderate; avoid waterlogging,"Acidic/sandy, very well-drained soil",50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline outdoors; cold greenhouse safer,Medium,Sunny outdoor bed,Rare collector plant / specialist nurseries,None,Low,Not evaluated / no global threat flag recorded in this catalogue.,Wind-pollinated; no animal pollinators.,Ornamental; no major edible use,Seed; smoke treatment may help,Mediterranean/restio specialists,https://en.wikipedia.org/wiki/Rhodocoma_capensis,https://powo.science.kew.org/results?q=Rhodocoma+capensis,Great South African architectural texture.,High
Aeonium urbicum,SBC-WL-0021,"Chelsea Physic Garden, London",★★★★,Wishlist,Crassulaceae,Saucer plant aeonium,Teller-Aeonium,aeónio,"Tenerife, Canary Islands",Dry rocky slopes and laurel forest margins,Frost-free to very mild frost only,Full sun to bright light,Low,Low-moderate,Gritty mineral succulent mix,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container; overwinter frost-free,Easy,Sunny outdoor bed,Common in garden trade,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees (Apis mellifera, Bombus spp.), hoverflies (Episyrphus balteatus), small flies and wasps.",Ornamental succulent,Cuttings; seed,"Succulent nurseries, garden centres",https://en.wikipedia.org/wiki/Aeonium_urbicum,https://powo.science.kew.org/results?q=Aeonium+urbicum,Can become sculptural.,High
Echium pininana,SBC-WL-0022,"Chelsea Physic Garden, London",★★★★,Wishlist,Boraginaceae,Giant viper's bugloss,Riesen-Natternkopf,equio-gigante,"La Palma, Canary Islands",Laurel forest clearings and slopes,Mild frost only; often biennial/triennial,Full sun,Low-medium,Moderate,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline; grow from seed and protect,Medium,Sunny outdoor bed,Uncommon / specialist nurseries,None,May self-seed in mild regions; not concern in NRW,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus spp.), honeybee (Apis mellifera), solitary bees (Anthophora plumipes, Osmia spp.), hoverflies (Syrphidae).",Ornamental; no edible use,Seed easy,"Seed suppliers, specialist nurseries",https://en.wikipedia.org/wiki/Echium_pininana,https://powo.science.kew.org/results?q=Echium+pininana,Spectacular flowering tower.,High
Pachystegia insignis,SBC-WL-0023,"Chelsea Physic Garden, London",★★★★,Wishlist,Asteraceae,Marlborough rock daisy,Marlborough-Felsmargerite,margarida-rochosa-da-nova-zelândia,"New Zealand, Marlborough coast",Coastal cliffs and rocks,Mild frost tolerant; needs dry/drained winter,Full sun,Low,Low-moderate,Very well-drained gritty soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline outdoor; dry protected wall/greenhouse,Medium-hard,Sunny outdoor bed,Rare collector plant / specialist nurseries,Medium,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: honeybee (Apis mellifera), bumblebees (Bombus spp.), solitary bees (Halictus/Lasioglossum spp.), hoverflies (Episyrphus balteatus), butterflies (Pieris rapae, Vanessa atalanta).",Ornamental; no edible use,Seed/cuttings,"Rare plant nurseries, NZ plant specialists",https://en.wikipedia.org/wiki/Pachystegia_insignis,https://powo.science.kew.org/results?q=Pachystegia+insignis,Stunning silver leaves; dislikes wet cold.,High
Cordyline australis,SBC-WL-0024,"Kew Gardens, London",★★★★,Wishlist,Asparagaceae,New Zealand cabbage tree,Keulenlilie / Neuseeländische Keulenlilie,cordiline-da-nova-zelândia,New Zealand,"Coastal, forest margins, wetlands",Hardy approx. -8 to -12°C once established,Full sun to light shade,Low-medium,Moderate,Well-drained fertile soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Borderline but plausible in sheltered Heiligenhaus,Easy,Trees & large shrubs,Common in garden trade,Low,Low in Germany,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bees, moths and sometimes birds; Yucca species often specialised with yucca moths (Tegeticula spp.), depending species.",Ornamental; Māori uses historically,Seed/cuttings,"Garden centres, hardy exotic nurseries",https://en.wikipedia.org/wiki/Cordyline_australis,https://powo.science.kew.org/results?q=Cordyline+australis,One of the best hardy exotic silhouettes.,High
Yucca filamentosa,SBC-WL-0025,"Kew Gardens, London",★★★★,Wishlist,Asparagaceae,Adam's needle,Fädige Palmlilie,iuca-filamentosa,SE United States,"Dry sandy woods, dunes, scrub",Hardy below -20°C with drainage,Full sun,Low,Low,Very well-drained sandy/gravelly soil,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Hardy outdoors in Heiligenhaus,Easy,Sunny outdoor bed,Common in garden trade,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,Specialised yucca moth mutualism: Tegeticula yuccasella / related Tegeticula moths in native range; also visited by bees.,Ornamental; fibre uses historically,Offsets/seed,Garden centres,https://en.wikipedia.org/wiki/Yucca_filamentosa,https://powo.science.kew.org/results?q=Yucca+filamentosa,"Tough, architectural and low-maintenance.",High
Salvia discolor,SBC-WL-0026,"Chelsea Physic Garden, London",★★★★,Wishlist,Lamiaceae,Andean sage,Peruanischer Salbei,sálvia-andina,Peru,Dry montane slopes,Frost-free; 10–30°C,Full sun/bright,Low-medium,Moderate,Free-draining,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Greenhouse/cuttings overwintered,Medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental,Cuttings/seed,Specialist salvia nurseries,https://en.wikipedia.org/wiki/Salvia_discolor,https://powo.science.kew.org/results?q=Salvia+discolor,Black-purple flowers; excellent collector salvia.,Medium
Salvia haenkei 'Prawn Chorus',SBC-WL-0027,"Chelsea Physic Garden, London",★★★★,Wishlist,Lamiaceae,Prawn Chorus sage,Salbei 'Prawn Chorus',sálvia 'Prawn Chorus',Cultivar; species Bolivia/Peru,Montane scrub ancestry,Usually frost-free or mild,Sun,Medium,Moderate,Well-drained fertile,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Container/greenhouse safest,Medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Cultivar / not applicable; assess the wild species separately.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental,Cuttings,Specialist salvia nurseries,https://en.wikipedia.org/wiki/Salvia_haenkei,https://powo.science.kew.org/results?q=Salvia+haenkei+%27Prawn+Chorus%27,Striking ornamental Salvia cultivar; best as a tender summer display or greenhouse plant.,Medium
Salvia stachydifolia,SBC-WL-0028,"Chelsea Physic Garden, London",★★★★,Wishlist,Lamiaceae,Bolivian sage,Bolivianischer Salbei,sálvia-boliviana,"Argentina, Bolivia",Montane grassland/scrub,Mild frost? protect,Sun,Medium,Moderate,Well-drained,50% pumice/lava/grit; 25% cactus compost or loam; 15% coarse sand; 10% fine bark/compost. Very free-draining.,Trial outdoors sheltered; backup cuttings,Medium,Sunny outdoor bed,Uncommon / specialist nurseries,Low,Low,Not evaluated / no global threat flag recorded in this catalogue.,"Likely/known visitors: bumblebees (Bombus terrestris, B. pascuorum), honeybee (Apis mellifera), long-tongued bees (Anthophora spp.), hoverflies (Episyrphus balteatus).",Ornamental,Seed/cuttings,Specialist salvia nurseries,https://en.wikipedia.org/wiki/Salvia_stachydifolia,https://powo.science.kew.org/results?q=Salvia+stachydifolia,Unusual red-flowered salvia.,Medium
